event_date,release_name,importance,symbol,horizon,session_date,session_weekday,metric,value
2024-01-04,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-04,Thursday,ret,0.004605400879212906
2024-01-04,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-04,Thursday,abs_ret,0.004605400879212906
2024-01-04,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-04,Thursday,range_pct,0.02072430395645807
2024-01-04,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-01-04,Thursday,realized_vol,0.011097652425018603
2024-01-04,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-05,Friday,ret,0.013000412711514642
2024-01-04,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-05,Friday,abs_ret,0.013000412711514642
2024-01-04,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-05,Friday,range_pct,0.025588113908377938
2024-01-04,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-01-05,Friday,realized_vol,0.011729065772620293
2024-01-04,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-08,Monday,ret,0.055544334477883206
2024-01-04,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-08,Monday,abs_ret,0.055544334477883206
2024-01-04,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-08,Monday,range_pct,0.05655423146839031
2024-01-04,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-01-08,Monday,realized_vol,0.018046206504660985
2024-01-05,Employment Situation,1.0,NVDA,0,2024-01-05,Friday,ret,0.013000412711514642
2024-01-05,Employment Situation,1.0,NVDA,0,2024-01-05,Friday,abs_ret,0.013000412711514642
2024-01-05,Employment Situation,1.0,NVDA,0,2024-01-05,Friday,range_pct,0.025588113908377938
2024-01-05,Employment Situation,1.0,NVDA,0,2024-01-05,Friday,realized_vol,0.011729065772620293
2024-01-05,Employment Situation,1.0,NVDA,1,2024-01-08,Monday,ret,0.055544334477883206
2024-01-05,Employment Situation,1.0,NVDA,1,2024-01-08,Monday,abs_ret,0.055544334477883206
2024-01-05,Employment Situation,1.0,NVDA,1,2024-01-08,Monday,range_pct,0.05655423146839031
2024-01-05,Employment Situation,1.0,NVDA,1,2024-01-08,Monday,realized_vol,0.018046206504660985
2024-01-05,Employment Situation,1.0,NVDA,2,2024-01-09,Tuesday,ret,0.013544448683708632
2024-01-05,Employment Situation,1.0,NVDA,2,2024-01-09,Tuesday,abs_ret,0.013544448683708632
2024-01-05,Employment Situation,1.0,NVDA,2,2024-01-09,Tuesday,range_pct,0.050362457077451364
2024-01-05,Employment Situation,1.0,NVDA,2,2024-01-09,Tuesday,realized_vol,0.01916735770837257
2024-01-10,Employment Situation,1.0,NVDA,0,2024-01-10,Wednesday,ret,0.013425321648331101
2024-01-10,Employment Situation,1.0,NVDA,0,2024-01-10,Wednesday,abs_ret,0.013425321648331101
2024-01-10,Employment Situation,1.0,NVDA,0,2024-01-10,Wednesday,range_pct,0.020697370874510523
2024-01-10,Employment Situation,1.0,NVDA,0,2024-01-10,Wednesday,realized_vol,0.01626381608995753
2024-01-10,Employment Situation,1.0,NVDA,1,2024-01-11,Thursday,ret,-0.002728264823572135
2024-01-10,Employment Situation,1.0,NVDA,1,2024-01-11,Thursday,abs_ret,0.002728264823572135
2024-01-10,Employment Situation,1.0,NVDA,1,2024-01-11,Thursday,range_pct,0.032557293561295005
