date,weekday,ref,outcome,gross_bp,net_bp,net_R
2016-01-04,Monday,199.91,no_fill,0.0,0.0,0.0
2016-01-05,Tuesday,201.28,no_fill,0.0,0.0,0.0
2016-01-06,Wednesday,198.731,buy,0.6241354587985427,-3.3758645412014574,-0.16104046635580108
2016-01-07,Thursday,194.48,no_fill,0.0,0.0,0.0
2016-01-08,Friday,193.88,no_fill,0.0,0.0,0.0
2016-01-11,Monday,190.185,buy,2.9612400664773677,-1.0387599335226323,-0.049552457477061704
2016-01-12,Tuesday,191.87,sell,-0.11538506808564906,-4.115385068085649,-0.19631816457965615
2016-01-13,Wednesday,190.35,no_fill,0.0,0.0,0.0
2016-01-14,Thursday,192.231,no_fill,0.0,0.0,0.0
2016-01-15,Friday,187.16,no_fill,0.0,0.0,0.0
2016-01-19,Tuesday,187.83,sell,31.739077441234553,27.739077441234553,1.3232503593957194
2016-01-20,Wednesday,184.11,sell,-28.56698355465693,-32.56698355465693,-1.553558253133321
2016-01-21,Thursday,187.27,sell,29.232071889515325,25.232071889515325,1.2036574852510236
2016-01-22,Friday,190.41,no_fill,0.0,0.0,0.0
2016-01-25,Monday,189.15,no_fill,0.0,0.0,0.0
2016-01-26,Tuesday,190.07,no_fill,0.0,0.0,0.0
2016-01-27,Wednesday,190.96,buy,-100.56065539484503,-104.56065539484503,-4.987906505650637
2016-01-28,Thursday,188.7,buy,15.608443297972983,11.608443297972983,0.5537630730008852
2016-01-29,Friday,192.52,no_fill,0.0,0.0,0.0
2016-02-01,Monday,193.22,no_fill,0.0,0.0,0.0
2016-02-02,Tuesday,190.085,no_fill,0.0,0.0,0.0
2016-02-03,Wednesday,187.985,buy,33.82877185168024,29.828771851680237,1.42293604236436
2016-02-04,Thursday,191.07,sell,-14.420728873838502,-18.420728873838502,-0.8787327608236801
2016-02-05,Friday,188.18,sell,5.607471165561759,1.6074711655617593,0.07668195894597084
2016-02-08,Monday,183.05,buy,-18.231339734252426,-22.231339734252426,-1.0605121369129644
2016-02-09,Tuesday,184.38,buy,9.68040293203856,5.680402932038559,0.27097495355627765
2016-02-10,Wednesday,186.77,buy,-1.6877896895638018,-5.687789689563802,-0.27132732755179906
2016-02-11,Thursday,182.0,no_fill,0.0,0.0,0.0
2016-02-12,Friday,185.45,buy,5.189767917916967,1.1897679179169671,0.056756062933831126
2016-02-16,Tuesday,189.45,no_fill,0.0,0.0,0.0
2016-02-17,Wednesday,192.59,buy,0.6374569116045635,-3.3625430883954364,-0.16040498677827783
2016-02-18,Thursday,192.05,no_fill,0.0,0.0,0.0
2016-02-19,Friday,191.81,no_fill,0.0,0.0,0.0
2016-02-22,Monday,194.85,no_fill,0.0,0.0,0.0
2016-02-23,Tuesday,192.78,no_fill,0.0,0.0,0.0
2016-02-24,Wednesday,191.24,buy,21.39232196360129,17.39232196360129,0.8296741785236962
