date,weekday,ref,outcome,gross_bp,net_bp,net_R
2016-01-04,Monday,200.76,no_fill,0.0,0.0,0.0
2016-01-05,Tuesday,200.98,no_fill,0.0,0.0,0.0
2016-01-06,Wednesday,198.31,no_fill,0.0,0.0,0.0
2016-01-07,Thursday,194.61,no_fill,0.0,0.0,0.0
2016-01-08,Friday,195.56,buy,8.374793889742428,4.374793889742428,0.24016860792481343
2016-01-11,Monday,192.99,no_fill,0.0,0.0,0.0
2016-01-12,Tuesday,193.82,no_fill,0.0,0.0,0.0
2016-01-13,Wednesday,194.53,no_fill,0.0,0.0,0.0
2016-01-14,Thursday,189.61,buy,-13.468925780336786,-17.468925780336786,-0.9590137712413204
2016-01-15,Friday,188.58,sell,17.313177213877136,13.313177213877136,0.7308703722043165
2016-01-19,Tuesday,190.55,no_fill,0.0,0.0,0.0
2016-01-20,Wednesday,184.84,no_fill,0.0,0.0,0.0
2016-01-21,Thursday,186.44,buy,33.2755854552014,29.2755854552014,1.6071789396628238
2016-01-22,Friday,189.4,no_fill,0.0,0.0,0.0
2016-01-25,Monday,189.61,no_fill,0.0,0.0,0.0
2016-01-26,Tuesday,188.13,no_fill,0.0,0.0,0.0
2016-01-27,Wednesday,189.66,no_fill,0.0,0.0,0.0
2016-01-28,Thursday,188.66,sell,1.9265436134980962,-2.0734563865019036,-0.11382916463941009
2016-01-29,Friday,189.61,buy,-8.194942340643589,-12.194942340643589,-0.6694812143134306
2016-02-01,Monday,192.13,no_fill,0.0,0.0,0.0
2016-02-02,Tuesday,191.98,buy,-6.755983841992305,-10.755983841992304,-0.5904848848422366
2016-02-03,Wednesday,190.85,buy,5.8871875782255785,1.8871875782255785,0.10360332966043401
2016-02-04,Thursday,190.47,no_fill,0.0,0.0,0.0
2016-02-05,Friday,191.16,sell,5.848100758173716,1.8481007581737163,0.10145753093330445
2016-02-08,Monday,185.65,no_fill,0.0,0.0,0.0
2016-02-09,Tuesday,184.13,sell,0.24970391783696785,-3.750296082163032,-0.20588475984453916
2016-02-10,Wednesday,187.43,sell,3.6593223950288087,-0.34067760497119126,-0.018702610499876093
2016-02-11,Thursday,182.24,no_fill,0.0,0.0,0.0
2016-02-12,Friday,184.61,buy,13.743754602517297,9.743754602517297,0.5349152526555605
2016-02-16,Tuesday,188.47,no_fill,0.0,0.0,0.0
2016-02-17,Wednesday,190.85,no_fill,0.0,0.0,0.0
2016-02-18,Thursday,193.32,no_fill,0.0,0.0,0.0
2016-02-19,Friday,191.65,no_fill,0.0,0.0,0.0
2016-02-22,Monday,194.09,no_fill,0.0,0.0,0.0
2016-02-23,Tuesday,193.73,no_fill,0.0,0.0,0.0
2016-02-24,Wednesday,190.54,no_fill,0.0,0.0,0.0
2016-02-25,Thursday,193.64,buy,-15.116977515182427,-19.116977515182427,-1.0494889572549992
2016-02-26,Friday,196.74,buy,2.1158909740979257,-1.8841090259020743,-0.10343432246955964
2016-02-29,Monday,194.73,buy,8.488130062678113,4.488130062678113,0.24639056753422764
2016-03-01,Tuesday,194.78,no_fill,0.0,0.0,0.0
2016-03-02,Wednesday,197.85,no_fill,0.0,0.0,0.0
2016-03-03,Thursday,198.83,no_fill,0.0,0.0,0.0
2016-03-04,Friday,199.99,buy,-4.214810841057095,-8.214810841057094,-0.4509788880999163
2016-03-07,Monday,199.46,no_fill,0.0,0.0,0.0
2016-03-08,Tuesday,199.56,buy,-1.1780284146427795,-5.17802841464278,-0.2842647922352986
2016-03-09,Wednesday,199.55,no_fill,0.0,0.0,0.0
2016-03-10,Thursday,201.13,no_fill,0.0,0.0,0.0
2016-03-11,Friday,201.21,no_fill,0.0,0.0,0.0
2016-03-14,Monday,202.14,no_fill,0.0,0.0,0.0
2016-03-15,Tuesday,201.39,no_fill,0.0,0.0,0.0
2016-03-17,Thursday,202.66,no_fill,0.0,0.0,0.0
2016-03-18,Friday,204.11,no_fill,0.0,0.0,0.0
2016-03-21,Monday,204.03,no_fill,0.0,0.0,0.0
2016-03-23,Wednesday,204.7,no_fill,0.0,0.0,0.0
2016-03-24,Thursday,202.3,sell,-1.9031035601917738,-5.903103560191774,-0.3240701619821316
2016-03-28,Monday,203.72,no_fill,0.0,0.0,0.0
2016-03-30,Wednesday,206.1,no_fill,0.0,0.0,0.0
2016-03-31,Thursday,206.04,no_fill,0.0,0.0,0.0
2016-04-01,Friday,204.84,sell,-6.0108633462796455,-10.010863346279645,-0.5495790600875777
2016-04-04,Monday,207.25,no_fill,0.0,0.0,0.0
2016-04-05,Tuesday,204.72,no_fill,0.0,0.0,0.0
2016-04-06,Wednesday,204.63,no_fill,0.0,0.0,0.0
2016-04-07,Thursday,205.53,no_fill,0.0,0.0,0.0
2016-04-08,Friday,205.3,buy,-7.012393486871868,-11.012393486871868,-0.6045613302751542
2016-04-11,Monday,205.14,no_fill,0.0,0.0,0.0
2016-04-12,Tuesday,204.37,no_fill,0.0,0.0,0.0
2016-04-13,Wednesday,207.09,no_fill,0.0,0.0,0.0
2016-04-14,Thursday,207.94,no_fill,0.0,0.0,0.0
2016-04-15,Friday,207.73,no_fill,0.0,0.0,0.0
2016-04-18,Monday,207.18,no_fill,0.0,0.0,0.0
2016-04-19,Tuesday,210.02,no_fill,0.0,0.0,0.0
2016-04-20,Wednesday,210.09,no_fill,0.0,0.0,0.0
2016-04-21,Thursday,210.5,no_fill,0.0,0.0,0.0
2016-04-22,Friday,208.75,no_fill,0.0,0.0,0.0
2016-04-26,Tuesday,209.16,no_fill,0.0,0.0,0.0
2016-04-27,Wednesday,208.75,no_fill,0.0,0.0,0.0
2016-04-28,Thursday,208.13,no_fill,0.0,0.0,0.0
2016-04-29,Friday,207.45,sell,1.0662437636118849,-2.933756236388115,-0.16105813646127168
2016-05-02,Monday,206.94,no_fill,0.0,0.0,0.0
2016-05-03,Tuesday,206.48,no_fill,0.0,0.0,0.0
2016-05-04,Wednesday,204.82,no_fill,0.0,0.0,0.0
2016-05-05,Thursday,205.9,no_fill,0.0,0.0,0.0
2016-05-06,Friday,204.48,sell,15.039575195927089,11.039575195927089,0.6060535590268027
2016-05-10,Tuesday,206.66,no_fill,0.0,0.0,0.0
2016-05-11,Wednesday,208.04,no_fill,0.0,0.0,0.0
2016-05-12,Thursday,207.69,no_fill,0.0,0.0,0.0
2016-05-13,Friday,205.83,buy,-2.668700401394805,-6.668700401394805,-0.36610010264161996
2016-05-18,Wednesday,204.41,no_fill,0.0,0.0,0.0
2016-05-19,Thursday,204.4,no_fill,0.0,0.0,0.0
2016-05-24,Tuesday,206.25,no_fill,0.0,0.0,0.0
2016-05-25,Wednesday,208.89,no_fill,0.0,0.0,0.0
2016-05-26,Thursday,209.59,no_fill,0.0,0.0,0.0
2016-05-31,Tuesday,210.63,no_fill,0.0,0.0,0.0
2016-06-03,Friday,211.07,sell,22.52926573833262,18.52926573833262,1.0172245985527546
2016-06-06,Monday,210.9,no_fill,0.0,0.0,0.0
2016-06-08,Wednesday,211.93,no_fill,0.0,0.0,0.0
2016-06-10,Friday,210.69,no_fill,0.0,0.0,0.0
2016-06-13,Monday,209.5,no_fill,0.0,0.0,0.0
2016-06-14,Tuesday,207.68,no_fill,0.0,0.0,0.0
2016-06-15,Wednesday,208.51,sell,-11.98079791265262,-15.98079791265262,-0.8773181285657131
2016-06-16,Thursday,206.69,no_fill,0.0,0.0,0.0
2016-06-17,Friday,207.28,no_fill,0.0,0.0,0.0
2016-06-20,Monday,208.87,no_fill,0.0,0.0,0.0
2016-06-21,Tuesday,208.66,sell,-3.838054727301813,-7.838054727301813,-0.4302956299514745
2016-06-24,Friday,204.15,buy,-17.72567497108641,-21.72567497108641,-1.1927019296307901
2016-06-27,Monday,201.02,buy,-10.25610385188167,-14.25610385188167,-0.7826354115941166
2016-06-28,Tuesday,201.3,no_fill,0.0,0.0,0.0
2016-06-29,Wednesday,204.61,no_fill,0.0,0.0,0.0
2016-06-30,Thursday,206.98,no_fill,0.0,0.0,0.0
2016-07-05,Tuesday,208.72,no_fill,0.0,0.0,0.0
2016-07-06,Wednesday,207.49,no_fill,0.0,0.0,0.0
2016-07-07,Thursday,209.58,no_fill,0.0,0.0,0.0
2016-07-08,Friday,210.11,buy,41.277135832809016,37.277135832809016,2.0464501976610903
2016-07-12,Tuesday,214.41,no_fill,0.0,0.0,0.0
2016-07-13,Wednesday,215.32,no_fill,0.0,0.0,0.0
2016-07-14,Thursday,216.61,no_fill,0.0,0.0,0.0
2016-07-15,Friday,216.19,no_fill,0.0,0.0,0.0
2016-07-18,Monday,216.2,no_fill,0.0,0.0,0.0
2016-07-20,Wednesday,216.83,no_fill,0.0,0.0,0.0
2016-07-21,Thursday,216.9,no_fill,0.0,0.0,0.0
2016-07-28,Thursday,216.33,no_fill,0.0,0.0,0.0
2016-07-29,Friday,216.55,no_fill,0.0,0.0,0.0
2016-08-01,Monday,217.45,no_fill,0.0,0.0,0.0
2016-08-03,Wednesday,215.41,no_fill,0.0,0.0,0.0
2016-08-05,Friday,216.65,buy,-1.1372740886134123,-5.137274088613412,-0.28202745031792575
2016-08-10,Wednesday,218.48,no_fill,0.0,0.0,0.0
2016-08-11,Thursday,218.15,no_fill,0.0,0.0,0.0
2016-08-12,Friday,218.58,no_fill,0.0,0.0,0.0
2016-08-16,Tuesday,218.62,no_fill,0.0,0.0,0.0
2016-09-02,Friday,217.1,buy,13.567077792757711,9.567077792757711,0.5252160017829542
2016-09-08,Thursday,219.01,no_fill,0.0,0.0,0.0
