date,weekday,vwap_0830_0834,entry_price,exit_price_1200,above_vwap,hold_price_0840,volume_0836_0930,gross_ret,net_ret
2016-01-04,Monday,200.7368118744149,200.71,199.38,-1.0,200.77,1724103.0,0.006626476010163973,0.006426476010163973
2016-01-05,Tuesday,201.0014163921897,200.98,200.88,-1.0,201.09,1359309.0,0.0004975619464623326,0.00029756194646233267
2016-01-06,Wednesday,198.35087992032706,198.32,199.32,-1.0,198.22,1668721.0,-0.005042355788624553,-0.005242355788624553
2016-01-07,Thursday,194.6328591943059,194.52,196.21,-1.0,194.6,2918208.0,-0.0086880526424018,-0.0088880526424018
2016-01-08,Friday,196.3186926280273,196.48,194.12,1.0,196.53,6037648.0,-0.012011400651465776,-0.012211400651465776
2016-01-11,Monday,193.00468264216633,192.9,192.11,-1.0,193.03,1323340.0,0.004095386210471674,0.003895386210471674
2016-01-12,Tuesday,193.8001880866639,193.87,192.52,1.0,193.74,1692256.0,-0.00696342910197556,-0.00716342910197556
2016-01-13,Wednesday,194.659900441886,194.66,192.5,1.0,194.76,3655730.0,-0.011096270420219878,-0.011296270420219879
2016-01-14,Thursday,189.6766506859038,189.71,190.94,1.0,189.85,5019123.0,0.006483580201359862,0.006283580201359862
2016-01-15,Friday,188.16778355570798,188.28,187.18,1.0,188.07,8387020.0,-0.0058423624389207784,-0.006042362438920778
2016-01-19,Tuesday,190.59768225072884,190.61,188.9,1.0,190.67,3114101.0,-0.008971197733592229,-0.00917119773359223
2016-01-20,Wednesday,184.90354034130584,184.93,182.468,1.0,184.92,2312045.0,-0.01331314551451912,-0.01351314551451912
2016-01-21,Thursday,187.04550584546294,187.62,188.16,1.0,187.88,4286937.0,0.0028781579788934586,0.0026781579788934585
2016-01-22,Friday,189.53236879490942,189.48,189.09,-1.0,189.54,1649924.0,0.0020582647245090957,0.0018582647245090956
2016-01-25,Monday,189.7539913051872,189.75,189.29,-1.0,189.55,1411714.0,0.00242424242424244,0.0022242424242424398
2016-01-26,Tuesday,188.2226222292039,188.37,189.535,1.0,188.31,1338498.0,0.006184636619419148,0.0059846366194191486
2016-01-27,Wednesday,189.62091924157298,189.5,191.009,-1.0,189.77,1244875.0,-0.00796306068601571,-0.008163060686015711
2016-01-28,Thursday,188.29185486603768,188.31,187.79,1.0,188.26,5332199.0,-0.002761404067760709,-0.002961404067760709
2016-01-29,Friday,189.85966316592507,189.8,191.91,-1.0,189.92,1506643.0,-0.011116965226554143,-0.011316965226554144
2016-02-01,Monday,192.15236999157258,192.06,193.2,-1.0,192.35,1878516.0,-0.005935645110902721,-0.0061356451109027205
2016-02-03,Wednesday,190.84056571929224,191.0,189.26,1.0,190.94,2132862.0,-0.0091099476439791,-0.0093099476439791
2016-02-04,Thursday,190.33052776199742,190.44,190.64,1.0,190.65,3444896.0,0.0010501995379121887,0.0008501995379121887
2016-02-05,Friday,190.69039684962834,190.61,188.75,-1.0,190.5,2708925.0,0.00975814490320559,0.00955814490320559
2016-02-08,Monday,185.6986557087562,185.65,184.222,-1.0,185.79,1426980.0,0.007691893347697265,0.007491893347697265
2016-02-09,Tuesday,183.90575730324144,183.82,184.585,-1.0,183.44,2108723.0,-0.004161679904254312,-0.0043616799042543114
2016-02-10,Wednesday,187.11709101412518,186.79,186.68,-1.0,186.72,3040423.0,0.0005888966218747793,0.00038889662187477933
2016-02-11,Thursday,182.27115451553613,182.31,182.135,1.0,182.34,2315871.0,-0.0009599034611377233,-0.0011599034611377234
2016-02-12,Friday,185.1365037127801,185.28,185.62,1.0,185.26,1843026.0,0.0018350604490500189,0.0016350604490500188
2016-02-16,Tuesday,188.49065767037965,188.53,188.9,1.0,188.39,1223841.0,0.0019625523789317256,0.0017625523789317255
2016-02-17,Wednesday,190.8106353926808,190.85,192.48,1.0,190.95,1951744.0,0.008540738800104863,0.008340738800104863
2016-02-18,Thursday,193.36384347416447,193.4,192.66,1.0,193.33,1099434.0,-0.003826266804550227,-0.0040262668045502265
2016-02-19,Friday,191.5281090925517,191.65,191.7,1.0,191.72,2848003.0,0.00026089225149994455,6.089225149994454e-05
2016-02-22,Monday,194.07894524191173,194.02,194.53,-1.0,194.03,1229061.0,-0.002628594990207178,-0.0028285949902071782
2016-02-23,Tuesday,193.77878296079055,193.84,193.0,1.0,193.92,1591453.0,-0.004333470903838288,-0.004533470903838288
2016-02-24,Wednesday,190.54268125708663,190.49,190.98,-1.0,190.38,1380230.0,-0.002572313507270607,-0.0027723135072706072
2016-02-25,Thursday,193.77958187811953,193.63,193.8,-1.0,193.71,1230029.0,-0.0008779631255488862,-0.0010779631255488863
2016-02-26,Friday,196.84098846597462,196.88,195.83,1.0,196.98,1319037.0,-0.005333197887037677,-0.005533197887037677
2016-02-29,Monday,194.88619522960698,195.13,195.93,1.0,195.26,1221753.0,0.004099830881976185,0.003899830881976185
2016-03-01,Tuesday,194.87454069726707,194.79,196.97,-1.0,194.89,1104545.0,-0.011191539606756118,-0.011391539606756118
2016-03-02,Wednesday,197.842693988673,197.87,197.73,1.0,197.8,481319.0,-0.0007075352504170018,-0.0009075352504170018
2016-03-04,Friday,200.4778557189343,200.77,200.74,1.0,200.48,5332726.0,-0.00014942471484780118,-0.00034942471484780116
2016-03-07,Monday,199.39304650266686,199.38,200.65,-1.0,199.33,1109326.0,-0.0063697462132612515,-0.006569746213261251
