pair,family,params,train_sharpe,train_ret,train_dd,train_trades,train_wr,oos_sharpe,oos_ret,oos_dd,oos_trades,oos_wr
EURUSD,donchian,"{""n"": 10}",-0.688,-35.95,-50.66,52,47.3,-0.565,-19.54,-35.08,34,46.4
EURUSD,donchian,"{""n"": 20}",-0.321,-19.83,-36.84,32,47.9,0.299,9.84,-11.08,16,47.7
EURUSD,donchian,"{""n"": 40}",-0.316,-19.55,-37.29,22,49.0,0.322,10.73,-9.09,8,48.7
EURUSD,donchian,"{""n"": 55}",-0.044,-4.97,-29.1,14,49.5,0.456,16.18,-10.8,6,49.1
EURUSD,ma_cross,"{""fast"": 5, ""slow"": 20}",-0.724,-37.41,-50.09,136,48.1,-0.006,-1.59,-11.04,69,48.1
EURUSD,ma_cross,"{""fast"": 10, ""slow"": 50}",0.038,-0.04,-22.37,44,49.7,0.161,4.5,-10.91,28,47.4
EURUSD,ma_cross,"{""fast"": 20, ""slow"": 100}",-0.262,-16.61,-35.13,28,49.0,-0.156,-6.78,-20.89,18,47.0
EURUSD,ma_cross,"{""fast"": 50, ""slow"": 200}",-0.244,-14.93,-26.18,10,49.7,-0.458,-16.37,-29.09,6,48.5
EURUSD,ma_cross,"{""fast"": 10, ""slow"": 100}",-0.263,-16.7,-35.59,34,49.5,0.023,-0.55,-15.54,22,47.3
EURUSD,ma_cross,"{""fast"": 20, ""slow"": 50}",-0.117,-9.12,-30.35,38,49.4,0.156,4.3,-16.53,26,45.4
EURUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 10, ""n"": 2}",-0.204,-7.07,-14.54,93,43.0,-0.286,-6.85,-12.06,65,39.6
EURUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 10, ""n"": 2}",0.248,8.65,-10.22,71,47.2,-0.434,-10.98,-15.43,43,42.5
EURUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 10, ""n"": 2}",-0.211,-11.49,-20.7,231,44.7,-0.437,-13.52,-18.37,135,42.8
