pair,family,params,train_sharpe,train_ret,train_dd,train_trades,train_wr,oos_sharpe,oos_ret,oos_dd,oos_trades,oos_wr,K_configs_tried,control_oos_p95,control_oos_best,control_oos_median,beats_noise,train_oos_decay,verdict,rank_by_oos,usdjpy_buyhold_oos_sharpe,beats_buyhold,train_oos_corr_all_K,expected_above_p95_by_chance,observed_above_p95,notes
USDJPY,ma_cross,"{""fast"": 5, ""slow"": 20}",-0.436,-26.14,-37.06,131,48.1,0.994,55.37,-13.03,54,54.3,258,0.514,0.905,-0.225,True,-1.43,INTERESTING,1,0.772,True,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,donchian,"{""n"": 10}",-0.061,-6.25,-32.13,48,49.2,0.784,40.94,-9.47,22,53.5,258,0.514,0.905,-0.225,True,-0.845,INTERESTING,2,0.772,True,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 10, ""n"": 2}",-0.091,-6.77,-26.43,181,49.4,0.766,35.89,-12.03,119,51.2,258,0.514,0.905,-0.225,True,-0.857,INTERESTING,3,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 20, ""n"": 14}",0.846,28.32,-4.96,37,47.9,0.76,12.4,-3.3,22,48.3,258,0.514,0.905,-0.225,True,0.086,INTERESTING,4,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 20, ""n"": 14}",0.713,21.59,-4.84,39,45.8,0.678,9.73,-3.48,24,45.8,258,0.514,0.905,-0.225,True,0.035,INTERESTING,5,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,momentum,"{""hold"": 10, ""look"": 60}",-0.024,-3.98,-29.85,106,49.1,0.675,33.9,-10.62,48,53.6,258,0.514,0.905,-0.225,True,-0.699,INTERESTING,6,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 30, ""n"": 14}",0.224,3.98,-3.04,15,45.9,0.654,8.74,-6.86,21,47.6,258,0.514,0.905,-0.225,True,-0.43,INTERESTING,7,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,momentum,"{""hold"": 5, ""look"": 10}",-0.465,-27.51,-35.35,296,48.3,0.601,29.37,-12.63,147,53.0,258,0.514,0.905,-0.225,True,-1.066,INTERESTING,8,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 10, ""n"": 2}",-0.074,-5.33,-21.91,229,47.3,0.594,24.79,-12.18,147,48.5,258,0.514,0.905,-0.225,True,-0.668,INTERESTING,9,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 10, ""n"": 5}",0.297,15.03,-14.5,118,47.5,0.585,15.99,-11.72,71,44.9,258,0.514,0.905,-0.225,True,-0.288,INTERESTING,10,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,momentum,"{""hold"": 10, ""look"": 20}",-0.335,-20.55,-32.53,200,49.5,0.575,21.24,-13.45,93,48.2,258,0.514,0.905,-0.225,True,-0.91,INTERESTING,11,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,vol_break,"{""hold"": 10, ""k"": 1.5}",-0.361,-11.11,-19.14,36,43.7,0.574,12.09,-5.44,21,51.0,258,0.514,0.905,-0.225,True,-0.935,INTERESTING,12,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 10, ""n"": 14}",0.32,4.35,-1.91,5,41.7,0.572,3.35,-1.11,5,58.6,258,0.514,0.905,-0.225,True,-0.252,INTERESTING,13,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 30, ""n"": 2}",-0.72,-36.86,-40.36,387,47.0,0.569,25.98,-14.89,248,49.3,258,0.514,0.905,-0.225,True,-1.289,INTERESTING,14,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 2}",-0.696,-36.94,-40.58,357,48.7,0.543,25.4,-14.27,228,51.4,258,0.514,0.905,-0.225,True,-1.239,INTERESTING,15,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,donchian,"{""n"": 20}",0.178,9.15,-24.04,24,49.8,0.543,25.93,-17.64,12,53.5,258,0.514,0.905,-0.225,True,-0.365,INTERESTING,15,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 5}",-0.412,-28.44,-32.81,184,48.2,0.54,25.25,-16.63,127,50.0,258,0.514,0.905,-0.225,True,-0.952,INTERESTING,17,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 14}",-0.027,-2.38,-17.23,65,45.1,0.534,12.91,-7.41,52,50.2,258,0.514,0.905,-0.225,True,-0.561,INTERESTING,18,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 10, ""n"": 14}",0.349,5.18,-3.05,5,43.5,0.532,4.21,-1.72,5,59.0,258,0.514,0.905,-0.225,True,-0.183,INTERESTING,19,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,ma_cross,"{""fast"": 10, ""slow"": 100}",-0.036,-4.67,-31.59,32,48.5,0.522,24.67,-12.36,14,53.0,258,0.514,0.905,-0.225,True,-0.558,INTERESTING,20,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 20, ""n"": 14}",-0.212,-5.55,-11.57,29,46.0,0.518,4.53,-2.37,18,46.0,258,0.514,0.905,-0.225,True,-0.73,INTERESTING,21,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 20, ""n"": 2}",-0.206,-13.74,-27.45,257,49.2,0.501,22.62,-12.04,167,51.0,258,0.514,0.905,-0.225,False,-0.707,NOISE,22,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 20, ""n"": 14}",0.255,2.0,-2.24,8,41.2,0.469,2.45,-1.37,5,53.7,258,0.514,0.905,-0.225,False,-0.214,NOISE,23,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 10, ""n"": 5}",0.203,8.61,-14.01,123,43.6,0.464,10.81,-9.59,71,41.6,258,0.514,0.905,-0.225,False,-0.261,NOISE,24,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 20, ""n"": 14}",-0.042,-1.82,-7.54,31,42.6,0.463,6.45,-2.87,19,49.6,258,0.514,0.905,-0.225,False,-0.505,NOISE,25,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,rsi_mr,"{""filt"": true, ""hold"": 5, ""lo"": 10, ""n"": 2}",-0.434,-16.7,-26.74,78,44.3,0.445,14.51,-14.83,54,52.7,258,0.514,0.905,-0.225,False,-0.879,NOISE,26,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 10, ""n"": 5}",0.284,11.13,-14.27,107,46.8,0.436,10.78,-7.36,77,47.1,258,0.514,0.905,-0.225,False,-0.152,NOISE,27,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
USDJPY,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 20, ""n"": 2}",-0.181,-11.64,-22.5,302,47.3,0.436,18.39,-10.54,194,49.1,258,0.514,0.905,-0.225,False,-0.617,NOISE,27,0.772,False,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 20, ""n"": 5}",0.09,3.21,-14.12,164,48.5,0.427,17.07,-11.66,103,47.7,258,0.514,0.905,-0.225,False,-0.337,NOISE,29,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
GBPUSD,rsi_mr,"{""filt"": true, ""hold"": 3, ""lo"": 10, ""n"": 5}",0.311,9.39,-4.15,43,42.9,0.426,4.5,-4.17,25,41.2,258,0.514,0.905,-0.225,False,-0.115,NOISE,30,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
EURUSD,rsi_mr,"{""filt"": false, ""hold"": 3, ""lo"": 10, ""n"": 5}",0.277,9.38,-12.38,116,44.1,0.42,8.34,-5.21,79,44.0,258,0.514,0.905,-0.225,False,-0.143,NOISE,31,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
AUDUSD,rsi_mr,"{""filt"": false, ""hold"": 5, ""lo"": 30, ""n"": 14}",0.042,0.4,-15.75,80,45.7,0.418,12.94,-9.03,39,48.7,258,0.514,0.905,-0.225,False,-0.376,NOISE,32,0.772,n/a,0.269,12.9,21,K=258 tried; control best-of-K OOS Sharpe 0.905; train->OOS corr +0.269 (weak persistence)
