instrument,direction,entry_date,entry,exit_date,exit,notional_frac,pnl_frac,R,hold_days,exit_reason,cost_frac
AUDUSD=X,LONG,2017-08-10,0.7891601324081421,2017-10-27,0.7659724950790405,0.6959703120762478,-0.021348268993715103,-6.777865281489754,78,signal_flip,0.0008987980618772116
EURUSD=X,LONG,2017-08-10,1.1761523485183716,2018-07-12,1.1676785945892334,0.6870239569518682,-0.007975320917833484,-2.532085892942255,336,signal_flip,0.0030255608276830454
GBPUSD=X,SHORT,2017-08-10,1.3014055490493774,2017-09-07,1.3049719333648682,0.6309950899154031,-0.002097037397143205,-0.6657887331411734,28,signal_flip,0.0003678523683336445
USDJPY=X,LONG,2017-08-10,110.04900360107422,2017-11-22,112.34100341796875,0.644878856265607,0.01246997319249104,3.959093750756816,104,signal_flip,0.0009609727689814788
GBPUSD=X,LONG,2017-09-07,1.3049719333648682,2017-09-18,1.3575152158737183,0.7160389681999586,0.028637838310325958,9.09223179067208,11,resize,0.00019269576596261506
GBPUSD=X,LONG,2017-09-18,1.3575152158737183,2018-01-29,1.4149274826049805,0.6150670526620741,0.024970441679077447,7.927869457233727,133,resize,0.0010420797808155205
AUDUSD=X,SHORT,2017-10-27,0.7659724950790405,2017-10-31,0.7697636485099792,0.6596308955960413,-0.0035042330929640282,-1.1125595159982604,4,signal_flip,0.00023941360002122247
AUDUSD=X,LONG,2017-10-31,0.7697636485099792,2018-01-08,0.786101758480072,0.6555238738906833,0.01322326601415771,4.198256807221633,69,resize,0.0006901230636175385
USDJPY=X,SHORT,2017-11-22,112.34100341796875,2017-12-25,113.30799865722656,0.641599014654974,-0.005857995730532526,-1.8598559861120647,33,resize,0.00033531768950105485
USDJPY=X,SHORT,2017-12-25,113.30799865722656,2018-01-09,113.14099884033203,0.7713837297348188,0.0009229527162826596,0.29302840309865663,15,signal_flip,0.00021395679714749993
AUDUSD=X,LONG,2018-01-08,0.786101758480072,2018-02-26,0.7838403582572937,0.7739189192005863,-0.002723027751546543,-0.8645345092463437,49,resize,0.0004966742325359024
USDJPY=X,LONG,2018-01-09,113.14099884033203,2018-01-10,112.75499725341797,0.7624033076197653,-0.0027456873984893293,-0.8717287241192002,1,signal_flip,0.00014460653809253787
USDJPY=X,SHORT,2018-01-10,112.75499725341797,2018-03-12,106.89099884033203,0.7576518252164898,0.03874344506284382,12.300662468421358,61,resize,0.0006594125396070097
GBPUSD=X,LONG,2018-01-29,1.4149274826049805,2018-02-12,1.3827433586120605,0.7230476101118929,-0.016585915646203802,-5.26586496793805,14,resize,0.00013938094904558434
GBPUSD=X,LONG,2018-02-12,1.3827433586120605,2018-05-28,1.3309022188186646,0.6138354218585881,-0.023836918116464656,-7.567986883005079,105,resize,0.0008232997783149408
AUDUSD=X,LONG,2018-02-26,0.7838403582572937,2018-05-16,0.7468482851982117,0.6504536093606015,-0.031449014448417044,-9.984752545030638,79,signal_flip,0.0007519124358248166
USDJPY=X,SHORT,2018-03-12,106.89099884033203,2018-05-22,110.97799682617188,0.6513855487078289,-0.025547222025699465,-8.110991540226305,71,signal_flip,0.0006413697607136848
AUDUSD=X,SHORT,2018-05-16,0.7468482851982117,2018-05-17,0.7517666816711426,0.601183471940851,-0.0041592483444836195,-1.3205204112552917,1,signal_flip,0.0002001327830232485
AUDUSD=X,LONG,2018-05-17,0.7517666816711426,2018-05-30,0.7481670379638672,0.5979310140932269,-0.003152320084130228,-1.000830599457935,13,signal_flip,0.0002892793764987819
USDJPY=X,LONG,2018-05-22,110.97799682617188,2018-05-23,110.72599792480469,0.7206000357142726,-0.001775364129657539,-0.5636606368390176,1,signal_flip,0.00013909007066925005
USDJPY=X,SHORT,2018-05-23,110.72599792480469,2018-06-06,109.85900115966797,0.7391032022836121,0.005522865883686028,1.753455558311545,14,signal_flip,0.00026439363523254606
GBPUSD=X,LONG,2018-05-28,1.3309022188186646,2018-07-19,1.3078221082687378,0.7138468874618783,-0.012928863300206954,-4.1047868432516905,52,signal_flip,0.0005495428321973373
AUDUSD=X,SHORT,2018-05-30,0.7481670379638672,2018-05-31,0.7571169137954712,0.5898707415049729,-0.007251806061080806,-2.3023770472428824,1,signal_flip,0.0001955343660149289
AUDUSD=X,LONG,2018-05-31,0.7571169137954712,2018-06-08,0.761440634727478,0.566347304520897,0.002998179181667317,0.951892380084344,8,signal_flip,0.0002361002944932029
USDJPY=X,LONG,2018-06-06,109.85900115966797,2018-06-07,110.125,0.7348701209550167,0.0016364414119626836,0.5195540413416792,1,signal_flip,0.0001428811551941205
USDJPY=X,SHORT,2018-06-07,110.125,2018-07-09,110.4219970703125,0.7339734967310988,-0.002352340420633666,-0.7468449302354103,32,resize,0.0003728809135629996
AUDUSD=X,SHORT,2018-06-08,0.761440634727478,2018-06-11,0.7601903676986694,0.5816281171552776,0.0007495604787601083,0.23797807432821105,3,signal_flip,0.00020545876337363869
AUDUSD=X,LONG,2018-06-11,0.7601903676986694,2018-06-15,0.7465472221374512,0.5813888272318971,-0.010648719120315658,-3.380863508848047,4,signal_flip,0.00021452693026822032
AUDUSD=X,SHORT,2018-06-15,0.7465472221374512,2019-02-11,0.7101768255233765,0.5886117211952453,0.026775878039861572,8.50107773146432,241,resize,0.0019001937701312833
USDJPY=X,SHORT,2018-07-09,110.4219970703125,2018-07-12,111.95800018310547,0.8479454312130331,-0.01190296252500334,-3.7790734447296335,3,signal_flip,0.0001077871398628905
EURUSD=X,SHORT,2018-07-12,1.1676785945892334,2018-07-13,1.1665889024734497,0.632688845378051,0.000474044367580696,0.15050442084352933,1,signal_flip,0.00011638869314975238
USDJPY=X,LONG,2018-07-12,111.95800018310547,2018-08-21,109.947998046875,0.7977549075494976,-0.014868080493546076,-4.720469215057608,40,signal_flip,0.0005458429960885546
EURUSD=X,LONG,2018-07-13,1.1665889024734497,2018-07-17,1.170946478843689,0.6381668037513747,0.0022423893506402872,0.7119365477248579,4,signal_flip,0.00014136432505645598
EURUSD=X,SHORT,2018-07-17,1.170946478843689,2018-09-21,1.1775927543640137,0.6419249590208465,-0.004286664198643053,-1.3609736908384202,66,signal_flip,0.0006431072828404652
GBPUSD=X,SHORT,2018-07-19,1.3078221082687378,2018-07-25,1.3152183294296265,0.7449303638717126,-0.004439568476039554,-1.409519293925121,6,signal_flip,0.0002267097960850288
GBPUSD=X,LONG,2018-07-25,1.3152183294296265,2018-08-10,1.2828407287597656,0.7757160360494175,-0.019431858016719872,-6.16942365889891,16,signal_flip,0.00033554260929433177
GBPUSD=X,SHORT,2018-08-10,1.2828407287597656,2018-09-24,1.30804443359375,0.7385816573813735,-0.015028041112596613,-4.771255137166207,45,resize,0.0005172809916329519
USDJPY=X,SHORT,2018-08-21,109.947998046875,2018-08-22,110.13400268554688,0.7866484670632792,-0.001483697997040391,-0.4710595105072226,1,signal_flip,0.00015288464457258844
USDJPY=X,LONG,2018-08-22,110.13400268554688,2018-09-07,110.49500274658203,0.7888371443756358,0.002283639600028241,0.7250330958928484,16,signal_flip,0.0003020310404866963
USDJPY=X,SHORT,2018-09-07,110.49500274658203,2018-09-14,112.01200103759766,0.7747801351876249,-0.010844661003532475,-3.4430731281776503,7,signal_flip,0.0002076175918218552
USDJPY=X,LONG,2018-09-14,112.01200103759766,2018-09-17,111.9530029296875,0.7540084848622448,-0.0005603098680087666,-0.17789286814639463,3,signal_flip,0.00016316426268967195
