instrument,direction,entry_date,entry,exit_date,exit,notional_frac,pnl_frac,R,hold_days,exit_reason,cost_frac
AUDUSD=X,LONG,2017-08-10,0.7891601324081421,2017-10-27,0.7659724950790405,0.6959703120762478,-0.021348268993715103,-6.777865281489754,78,signal_flip,0.0008987980618772116
EURUSD=X,LONG,2017-08-10,1.1761523485183716,2018-07-12,1.1676785945892334,0.6870239569518682,-0.007975320917833484,-2.532085892942255,336,signal_flip,0.0030255608276830454
GBPUSD=X,SHORT,2017-08-10,1.3014055490493774,2017-09-07,1.3049719333648682,0.6309950899154031,-0.002097037397143205,-0.6657887331411734,28,signal_flip,0.0003678523683336445
USDJPY=X,LONG,2017-08-10,110.04900360107422,2017-11-22,112.34100341796875,0.644878856265607,0.01246997319249104,3.959093750756816,104,signal_flip,0.0009609727689814788
DBC,SHORT,2017-08-29,14.800000190734863,2017-08-30,14.6899995803833,0.37819657483728253,0.002427974645437766,0.7708580521678265,1,signal_flip,0.0003829614038073582
EEM,LONG,2017-08-29,44.689998626708984,2018-02-05,47.33000183105469,0.40084792188050916,0.022616990263996606,7.180671797196492,160,resize,0.0010625763222373932
EFA,LONG,2017-08-29,66.4800033569336,2017-09-18,68.1500015258789,0.5510317910655935,0.013370584184574624,4.245028876324535,20,resize,0.0004715041975436576
GLD,SHORT,2017-08-29,124.41999816894531,2017-08-31,125.81999969482422,0.5359676513913151,-0.00658030013225981,-2.089180524254987,2,signal_flip,0.0005494727667851891
IEF,SHORT,2017-08-29,108.16000366210938,2017-11-17,106.18000030517578,1.0,0.01629833817331408,5.174561950826376,80,signal_flip,0.0020079052613579396
SPY,LONG,2017-08-29,244.85000610351562,2017-11-06,258.8500061035156,0.6494697907230311,0.036171808926018886,11.484193306751079,69,resize,0.0009634855132974255
TLT,SHORT,2017-08-29,127.6500015258789,2017-11-09,126.0,0.5816025153826108,0.006408600479805286,2.03466757458408,72,signal_flip,0.0011091827271284414
DBC,LONG,2017-08-30,14.6899995803833,2018-01-22,16.920000076293945,0.38520234587691854,0.057526807462030795,18.264195151683392,145,resize,0.0009484441968299016
GLD,LONG,2017-08-31,125.81999969482422,2017-09-06,126.80999755859375,0.5296404977853028,0.0035977279648319155,1.142243217576934,6,signal_flip,0.0005696775561112561
GLD,SHORT,2017-09-06,126.80999755859375,2017-09-08,127.97000122070312,0.5246362470300094,-0.005337004008732374,-1.6944462423912787,2,signal_flip,0.0005378558378720253
GBPUSD=X,LONG,2017-09-07,1.3049719333648682,2017-09-18,1.3575152158737183,0.7160389681999586,0.028637838310325958,9.09223179067208,11,resize,0.00019269576596261506
GLD,LONG,2017-09-08,127.97000122070312,2017-09-11,126.19000244140625,0.5218282297279258,-0.00779992143726199,-2.476398284260406,3,signal_flip,0.0005415514829129711
GLD,SHORT,2017-09-11,126.19000244140625,2017-09-15,125.52999877929688,0.49593658184933964,0.002072936589967857,0.6581369640793464,4,signal_flip,0.0005209294363566307
GLD,LONG,2017-09-15,125.52999877929688,2017-09-18,124.36000061035156,0.4927835989475534,-0.005104382174796877,-1.6205910997372277,3,signal_flip,0.0005114090682759337
EFA,LONG,2017-09-18,68.1500015258789,2017-11-06,69.9000015258789,0.665314474392065,0.01659918442644848,5.2700776750654805,49,resize,0.00048519274328628643
GBPUSD=X,LONG,2017-09-18,1.3575152158737183,2018-01-29,1.4149274826049805,0.6150670526620741,0.024970441679077447,7.927869457233727,133,resize,0.0010420797808155205
GLD,SHORT,2017-09-18,124.36000061035156,2017-10-04,121.16999816894531,0.4835617646247937,0.011822975515797031,3.753678356592546,16,signal_flip,0.0005810386539761655
GLD,LONG,2017-10-04,121.16999816894531,2017-10-05,120.5199966430664,0.4819174467173904,-0.0030731758019372727,-0.9757030688529017,1,signal_flip,0.0004879890358434734
GLD,SHORT,2017-10-05,120.5199966430664,2017-10-06,121.08999633789062,0.4789614129227237,-0.002750245235152699,-0.8731757923985276,1,signal_flip,0.00048499575952362677
GLD,LONG,2017-10-06,121.08999633789062,2017-10-25,121.3499984741211,0.48282850512579845,0.0004383133943145242,0.1391601885197788,19,signal_flip,0.0005984067854051452
GLD,SHORT,2017-10-25,121.3499984741211,2017-11-09,122.12999725341797,0.47495174726623,-0.0036175463373864705,-1.1485353557972595,15,signal_flip,0.0005647091906963762
AUDUSD=X,SHORT,2017-10-27,0.7659724950790405,2017-10-31,0.7697636485099792,0.6596308955960413,-0.0035042330929640282,-1.1125595159982604,4,signal_flip,0.00023941360002122247
AUDUSD=X,LONG,2017-10-31,0.7697636485099792,2018-01-08,0.786101758480072,0.6555238738906833,0.01322326601415771,4.198256807221633,69,resize,0.0006901230636175385
EFA,LONG,2017-11-06,69.9000015258789,2018-01-08,72.33000183105469,0.8142468609478788,0.027598732888074788,8.762326046681437,63,resize,0.0007077059874556044
SPY,LONG,2017-11-06,258.8500061035156,2017-11-13,258.3299865722656,0.7977790935390505,-0.0017465998997413669,-0.5545282769575205,7,resize,0.00014389292473235613
GLD,LONG,2017-11-09,122.12999725341797,2018-06-06,122.91999816894531,0.49713163991427434,0.0014095532814455353,0.44751929308799054,209,signal_flip,0.001806155058045942
TLT,LONG,2017-11-09,126.0,2018-02-05,120.70999908447266,0.5789350277128743,-0.02529702136049172,-8.03155529166599,88,resize,0.000990935434841323
SPY,LONG,2017-11-13,258.3299865722656,2018-01-22,282.69000244140625,0.9448499374923719,0.08818983827770617,27.99940562949784,70,resize,0.0009076752423977912
IEF,LONG,2017-11-17,106.18000030517578,2018-01-05,105.1500015258789,1.0,-0.011317839018508642,-3.5933024905964666,49,signal_flip,0.0016173419725817378
USDJPY=X,SHORT,2017-11-22,112.34100341796875,2017-12-25,113.30799865722656,0.641599014654974,-0.005857995730532526,-1.8598559861120647,33,resize,0.00033531768950105485
USDJPY=X,SHORT,2017-12-25,113.30799865722656,2018-01-09,113.14099884033203,0.7713837297348188,0.0009229527162826596,0.29302840309865663,15,signal_flip,0.00021395679714749993
IEF,SHORT,2018-01-05,105.1500015258789,2018-01-08,105.0999984741211,1.0,-0.0005622562567902634,-0.17851082742685304,3,signal_flip,0.0010377964473009228
AUDUSD=X,LONG,2018-01-08,0.786101758480072,2018-02-26,0.7838403582572937,0.7739189192005863,-0.002723027751546543,-0.8645345092463437,49,resize,0.0004966742325359024
EFA,LONG,2018-01-08,72.33000183105469,2018-02-05,69.51000213623047,0.6914117059665166,-0.027353284717960412,-8.684398668536016,28,resize,0.0003965482259901615
IEF,LONG,2018-01-08,105.0999984741211,2018-01-09,104.5999984741211,1.0,-0.005769972814427027,-1.8319095766292823,1,signal_flip,0.0010125988157669743
IEF,SHORT,2018-01-09,104.5999984741211,2019-01-03,105.25,1.0,-0.011737138678326205,-3.726426005559417,359,signal_flip,0.005522974860343752
USDJPY=X,LONG,2018-01-09,113.14099884033203,2018-01-10,112.75499725341797,0.7624033076197653,-0.0027456873984893293,-0.8717287241192002,1,signal_flip,0.00014460653809253787
USDJPY=X,SHORT,2018-01-10,112.75499725341797,2018-03-12,106.89099884033203,0.7576518252164898,0.03874344506284382,12.300662468421358,61,resize,0.0006594125396070097
DBC,LONG,2018-01-22,16.920000076293945,2018-04-23,17.459999084472656,0.48949131093402326,0.01500969440656203,4.765430238580841,91,resize,0.0006123399447738151
SPY,LONG,2018-01-22,282.69000244140625,2018-02-05,263.92999267578125,0.7960580932832825,-0.053166219386075075,-16.879751357406693,14,resize,0.0003378297188649332
