pair,entry_date,exit_date,direction,pnl_pct,risk_pct,hold_days,exit_reason
USDJPY=X,2015-01-02,2015-01-07,1,-0.010230003744117316,0.01,4,trailing_stop
AUDUSD=X,2015-01-02,2015-01-05,1,-0.01425495894623819,0.01,2,trailing_stop
USDJPY=X,2015-02-03,2015-02-16,1,0.008204995356850967,0.01,10,trailing_stop
AUDUSD=X,2015-02-03,2015-02-23,-1,-0.0064183239986613985,0.01,15,trailing_stop
USDJPY=X,2015-03-03,2015-03-10,1,0.010009884169139619,0.01,6,reversal
USDJPY=X,2015-03-11,2015-03-31,-1,0.008347259669310585,0.01,15,time
USDJPY=X,2015-04-02,2015-04-16,1,-0.003640115961792546,0.01,11,trailing_stop
EURUSD=X,2015-04-03,2015-04-09,1,-0.00809684137770486,0.01,5,trailing_stop
AUDUSD=X,2015-04-03,2015-04-14,1,0.0003443749294029047,0.01,8,trailing_stop
USDJPY=X,2015-05-04,2015-06-11,1,0.0228712207269414,0.01,29,trailing_stop
USDJPY=X,2015-07-02,2015-07-09,1,-0.019970284510857996,0.01,6,stop
GBPUSD=X,2015-07-03,2015-07-14,-1,0.008027319307198322,0.01,8,time
USDJPY=X,2015-08-04,2015-08-20,1,-0.0003755939739599396,0.01,13,trailing_stop
AUDUSD=X,2015-10-05,2015-10-14,1,0.024628460291586576,0.01,8,trailing_stop
USDJPY=X,2015-12-02,2015-12-10,1,-0.009893787018029192,0.01,7,stop
USDJPY=X,2016-01-04,2016-01-06,1,-0.01018248576586587,0.01,3,trailing_stop
EURUSD=X,2016-01-06,2016-01-15,1,0.009719755675974722,0.01,8,time
GBPUSD=X,2016-01-06,2016-01-13,1,-0.016575903536932397,0.01,6,stop
USDJPY=X,2016-02-02,2016-02-04,1,-0.022705967314084297,0.01,3,stop
USDJPY=X,2016-03-11,2016-03-25,-1,-0.0001713522014250006,0.01,11,trailing_stop
EURUSD=X,2016-04-05,2016-04-14,-1,0.009282676653929263,0.01,8,time
USDJPY=X,2016-04-05,2016-04-07,1,-0.013980772749211745,0.01,3,trailing_stop
AUDUSD=X,2016-04-05,2016-04-13,-1,-0.011719500544632139,0.01,7,trailing_stop
AUDUSD=X,2016-05-03,2016-05-23,-1,0.05650245383873194,0.01,15,time
GBPUSD=X,2016-07-05,2016-07-14,1,-0.01241295647912257,0.01,8,time
USDJPY=X,2016-07-05,2016-07-14,1,0.01511429321751556,0.01,8,time
AUDUSD=X,2016-08-02,2016-08-22,1,0.009906206030263032,0.01,15,trailing_stop
GBPUSD=X,2016-08-08,2016-08-24,-1,-0.009350326185761818,0.01,13,trailing_stop
USDJPY=X,2016-10-04,2016-11-02,1,0.022198873975379493,0.01,22,trailing_stop
GBPUSD=X,2016-10-10,2016-10-19,1,-0.010668724250200774,0.01,8,time
AUDUSD=X,2016-11-02,2016-11-10,1,4.890730759651004e-05,0.01,7,trailing_stop
USDJPY=X,2016-12-02,2016-12-30,1,0.020816116932399972,0.01,21,trailing_stop
USDJPY=X,2017-01-03,2017-01-03,1,-3.789702780110459e-05,0.01,1,reversal
EURUSD=X,2017-01-04,2017-01-13,1,0.01881348177284327,0.01,8,time
USDJPY=X,2017-01-04,2017-01-09,-1,0.004345639754780609,0.01,4,trailing_stop
AUDUSD=X,2017-01-04,2017-01-13,1,0.035290947863297215,0.01,8,time
USDJPY=X,2017-02-02,2017-02-20,1,-0.002945386924684283,0.01,13,trailing_stop
AUDUSD=X,2017-03-02,2017-03-03,1,-0.011736757018211343,0.01,2,trailing_stop
USDJPY=X,2017-03-13,2017-03-31,-1,0.025822594498624202,0.01,15,trailing_stop
AUDUSD=X,2017-04-04,2017-04-07,1,-0.008687793056864079,0.01,4,trailing_stop
USDJPY=X,2017-04-06,2017-04-12,1,-0.007390410375445579,0.01,5,trailing_stop
USDJPY=X,2017-07-04,2017-07-10,1,0.005365185340758469,0.01,5,reversal
EURUSD=X,2017-07-05,2017-07-12,-1,-0.010234935452905413,0.01,5,trailing_stop
GBPUSD=X,2017-07-06,2017-07-17,-1,-0.014245131156953642,0.01,7,trailing_stop
USDJPY=X,2017-07-12,2017-07-21,-1,0.016348941550630682,0.01,8,time
GBPUSD=X,2017-09-04,2017-09-11,-1,-0.018122875246254166,0.01,6,stop
USDJPY=X,2017-09-04,2017-09-06,1,-0.010797329984541549,0.01,3,trailing_stop
USDJPY=X,2017-10-03,2017-10-16,1,-0.007957773594981137,0.01,10,trailing_stop
USDJPY=X,2017-11-02,2017-11-17,1,-0.010035068870149507,0.01,11,trailing_stop
GBPUSD=X,2017-11-06,2017-11-24,1,0.01712463728657354,0.01,14,time
USDJPY=X,2017-12-04,2017-12-15,1,-0.003956407218701057,0.01,10,trailing_stop
USDJPY=X,2018-01-02,2018-01-11,1,-0.011810918335337373,0.01,8,stop
USDJPY=X,2018-06-04,2018-06-26,1,0.0004261986510565482,0.01,17,trailing_stop
EURUSD=X,2018-07-04,2018-07-13,1,0.000347355346632311,0.01,8,time
GBPUSD=X,2018-07-04,2018-07-13,1,-0.0012540746695441538,0.01,8,time
AUDUSD=X,2018-07-04,2018-07-12,1,-0.002046512897935511,0.01,7,trailing_stop
USDJPY=X,2018-08-02,2018-08-13,1,-0.009082885866617983,0.01,8,trailing_stop
GBPUSD=X,2018-08-06,2018-08-13,1,-0.018861668075353694,0.01,6,stop
USDJPY=X,2018-09-04,2018-09-07,1,-0.005183278239561888,0.01,4,trailing_stop
USDJPY=X,2018-10-02,2018-10-09,1,-0.007617759529424807,0.01,6,trailing_stop
AUDUSD=X,2018-10-05,2018-10-16,1,0.007373892264666091,0.01,8,time
EURUSD=X,2018-11-02,2018-11-19,-1,-0.001200796710120859,0.01,12,trailing_stop
GBPUSD=X,2018-11-02,2019-01-01,-1,0.019801982601836694,0.01,43,trailing_stop
USDJPY=X,2018-11-02,2018-11-19,1,4.24611529494998e-05,0.01,12,trailing_stop
EURUSD=X,2018-12-04,2018-12-21,-1,-0.009115932186628772,0.01,14,trailing_stop
EURUSD=X,2019-01-02,2019-01-08,-1,-0.0018008423063542952,0.01,5,trailing_stop
GBPUSD=X,2019-01-04,2019-01-15,1,0.019272716285033516,0.01,8,time
USDJPY=X,2019-01-04,2019-01-15,1,0.003502615843357403,0.01,8,time
EURUSD=X,2019-02-04,2019-02-20,-1,0.009749483937720113,0.01,13,trailing_stop
GBPUSD=X,2019-02-04,2019-02-20,-1,0.0011137194040795931,0.01,13,trailing_stop
EURUSD=X,2019-03-04,2019-03-13,-1,0.007517379138795928,0.01,8,trailing_stop
USDJPY=X,2019-03-12,2019-04-01,-1,0.002645228876701064,0.01,15,trailing_stop
EURUSD=X,2019-04-02,2019-04-11,-1,-0.006498249738459584,0.01,8,trailing_stop
USDJPY=X,2019-04-02,2019-04-11,1,-0.0040830584272757015,0.01,8,trailing_stop
EURUSD=X,2019-05-02,2019-06-04,-1,-0.004233339803725245,0.01,23,trailing_stop
USDJPY=X,2019-05-02,2019-05-06,1,-0.007512461352994414,0.01,3,trailing_stop
AUDUSD=X,2019-06-04,2019-06-21,-1,0.006484179835329749,0.01,14,trailing_stop
GBPUSD=X,2019-07-02,2019-07-02,-1,-0.00021418032086971823,0.01,1,reversal
GBPUSD=X,2019-07-03,2019-07-12,1,-0.006093489924772483,0.01,8,time
EURUSD=X,2019-08-02,2019-08-02,-1,8.270244844307461e-05,0.01,1,reversal
GBPUSD=X,2019-08-02,2019-08-02,-1,5.880323297184316e-05,0.01,1,reversal
EURUSD=X,2019-08-05,2019-08-15,1,0.0030063714286449046,0.01,9,trailing_stop
GBPUSD=X,2019-08-05,2019-08-23,1,0.00820370221197615,0.01,15,time
AUDUSD=X,2019-08-05,2019-08-23,1,-0.005533867771120463,0.01,15,trailing_stop
AUDUSD=X,2019-10-04,2019-10-23,1,0.016696277854325533,0.01,14,time
EURUSD=X,2019-10-07,2019-10-24,1,0.013013737213372635,0.01,14,time
GBPUSD=X,2019-10-07,2019-10-24,1,0.047449202432884224,0.01,14,time
USDJPY=X,2019-11-04,2019-11-04,1,-1.3907515760431885e-05,0.01,1,reversal
EURUSD=X,2019-11-05,2019-11-08,1,-0.009955141869884075,0.01,4,stop
GBPUSD=X,2019-11-05,2019-11-25,1,-0.002836159520739317,0.01,15,time
USDJPY=X,2019-11-05,2019-11-25,-1,-0.0006071299584257461,0.01,15,time
AUDUSD=X,2019-11-05,2019-11-12,1,-0.005716072204845893,0.01,6,trailing_stop
USDJPY=X,2019-12-03,2019-12-31,1,-0.0012454920268498192,0.01,21,trailing_stop
USDJPY=X,2020-01-02,2020-01-27,1,0.0008297156181152133,0.01,18,trailing_stop
GBPUSD=X,2020-01-03,2020-01-14,-1,0.011655914508461575,0.01,8,time
AUDUSD=X,2020-01-03,2020-01-14,-1,0.011765534492462431,0.01,8,time
EURUSD=X,2020-03-04,2020-03-13,1,0.00046233587189204166,0.01,8,trailing_stop
GBPUSD=X,2020-03-04,2020-03-12,1,-0.00043195279183991497,0.01,7,reversal
USDJPY=X,2020-03-04,2020-03-16,-1,0.0033399314816458356,0.01,9,trailing_stop
AUDUSD=X,2020-03-04,2020-03-11,1,-0.013651675817044934,0.01,6,trailing_stop
GBPUSD=X,2020-03-13,2020-03-27,-1,0.02939097756005716,0.01,11,trailing_stop
USDJPY=X,2020-04-02,2020-04-02,1,-0.0003776024730876283,0.01,1,reversal
EURUSD=X,2020-04-03,2020-04-22,1,0.0009033572858977016,0.01,14,trailing_stop
GBPUSD=X,2020-04-03,2020-04-22,1,-0.007763459793615703,0.01,14,trailing_stop
USDJPY=X,2020-04-03,2020-04-30,-1,0.012919253835320424,0.01,20,time
AUDUSD=X,2020-04-03,2020-04-22,1,0.036655619668872694,0.01,14,trailing_stop
EURUSD=X,2021-04-05,2021-04-09,1,0.012491493406639173,0.01,5,time
GBPUSD=X,2021-04-05,2021-04-09,-1,0.006720201420719904,0.01,5,time
AUDUSD=X,2021-04-05,2021-04-09,-1,-0.005588292887162301,0.01,5,time
AUDUSD=X,2021-05-04,2021-05-10,1,0.012145825410821829,0.01,5,time
EURUSD=X,2021-06-02,2021-06-02,1,-0.00019229115416688114,0.01,1,reversal
GBPUSD=X,2021-06-02,2021-06-02,1,-0.000130313493916986,0.01,1,reversal
AUDUSD=X,2021-06-02,2021-06-02,1,-0.00037601044741112136,0.01,1,reversal
EURUSD=X,2021-06-03,2021-06-09,-1,0.002982093170763149,0.01,5,time
GBPUSD=X,2021-06-03,2021-06-09,-1,0.0014001076270215023,0.01,5,time
AUDUSD=X,2021-06-03,2021-06-07,-1,-6.184447515913583e-05,0.01,3,trailing_stop
EURUSD=X,2021-07-02,2021-07-02,1,-0.00024396769398699343,0.01,1,reversal
EURUSD=X,2021-07-05,2021-07-09,-1,0.0004803737138415951,0.01,5,time
GBPUSD=X,2021-07-05,2021-07-09,-1,0.0026113086342995813,0.01,5,time
AUDUSD=X,2021-07-05,2021-07-09,-1,0.010770426615873034,0.01,5,time
AUDUSD=X,2021-08-03,2021-08-09,-1,0.002987535409190355,0.01,5,time
EURUSD=X,2021-09-03,2021-09-09,-1,0.004454977261366559,0.01,5,time
GBPUSD=X,2021-09-03,2021-09-09,-1,0.004905911470284455,0.01,5,time
AUDUSD=X,2021-09-03,2021-09-09,-1,0.004254919047171724,0.01,5,time
AUDUSD=X,2021-11-02,2021-11-02,1,-0.0007717029536898628,0.01,1,reversal
EURUSD=X,2021-11-03,2021-11-09,-1,-0.0011192395048314153,0.01,5,time
GBPUSD=X,2021-11-03,2021-11-09,-1,0.003713437839965464,0.01,5,time
AUDUSD=X,2021-11-03,2021-11-09,-1,0.002773745354674028,0.01,5,time
EURUSD=X,2022-01-04,2022-01-10,-1,-0.0047945921271110425,0.01,5,time
GBPUSD=X,2022-01-04,2022-01-10,-1,-0.008301190036103237,0.01,5,time
AUDUSD=X,2022-01-04,2022-01-07,1,-0.005108279499724525,0.01,4,trailing_stop
GBPUSD=X,2022-03-02,2022-03-02,1,-3.498188224815461e-05,0.01,1,reversal
AUDUSD=X,2022-03-02,2022-03-02,1,-0.00021658150613393983,0.01,1,reversal
EURUSD=X,2022-03-03,2022-03-09,-1,0.019177876004977994,0.01,5,time
GBPUSD=X,2022-03-03,2022-03-09,-1,0.02206300426785007,0.01,5,time
USDJPY=X,2022-03-03,2022-03-09,-1,-0.002119977221003545,0.01,5,time
AUDUSD=X,2022-03-03,2022-03-07,-1,-0.01434029076423518,0.01,3,trailing_stop
USDJPY=X,2022-03-11,2022-03-14,-1,-0.011917548309641215,0.01,2,trailing_stop
AUDUSD=X,2022-04-04,2022-04-04,1,-0.00032276937483464416,0.01,1,reversal
AUDUSD=X,2022-04-05,2022-04-11,-1,0.012568194340643057,0.01,5,time
EURUSD=X,2022-05-03,2022-05-18,-1,-0.003925996553872704,0.01,12,trailing_stop
GBPUSD=X,2022-05-03,2022-05-09,-1,0.013762472228280241,0.01,5,reversal
USDJPY=X,2022-05-03,2022-05-03,-1,-0.00010258584419943655,0.01,1,reversal
AUDUSD=X,2022-05-03,2022-05-06,1,0.009578992622996505,0.01,4,trailing_stop
USDJPY=X,2022-05-04,2022-05-13,1,-0.011781566186181341,0.01,8,trailing_stop
GBPUSD=X,2022-05-10,2022-05-30,1,0.023544463635228118,0.01,15,time
EURUSD=X,2022-06-03,2022-06-23,-1,0.01714495849873655,0.01,15,trailing_stop
GBPUSD=X,2022-06-03,2022-06-17,-1,0.017521358322611903,0.01,11,reversal
USDJPY=X,2022-06-03,2022-06-03,-1,-0.00010272471181291655,0.01,1,reversal
AUDUSD=X,2022-06-03,2022-06-16,-1,0.034304865279207855,0.01,10,trailing_stop
USDJPY=X,2022-06-06,2022-06-17,1,0.013097472556336101,0.01,10,trailing_stop
GBPUSD=X,2022-06-20,2022-07-05,1,-0.009536475885389752,0.01,12,reversal
EURUSD=X,2022-07-05,2022-07-05,1,-0.00019580558141585954,0.01,1,reversal
USDJPY=X,2022-07-05,2022-07-05,-1,-9.866442630057094e-05,0.01,1,reversal
AUDUSD=X,2022-07-05,2022-07-05,1,-0.00035134377611028915,0.01,1,reversal
EURUSD=X,2022-07-06,2022-07-20,-1,0.002332041582336692,0.01,11,trailing_stop
GBPUSD=X,2022-07-06,2022-07-28,-1,-0.0181020857706665,0.01,17,trailing_stop
USDJPY=X,2022-07-06,2022-07-22,1,0.011640520860073002,0.01,13,trailing_stop
AUDUSD=X,2022-07-06,2022-07-20,-1,-0.0158264439927696,0.01,11,trailing_stop
EURUSD=X,2022-07-29,2022-08-02,1,0.006564003408112834,0.01,3,reversal
EURUSD=X,2022-08-03,2022-08-11,-1,-0.014508717742660238,0.01,7,trailing_stop
GBPUSD=X,2022-08-03,2022-08-05,-1,-0.0010630136199096384,0.01,3,reversal
USDJPY=X,2022-08-03,2022-08-30,1,0.039176774097869474,0.01,20,time
AUDUSD=X,2022-08-03,2022-08-09,-1,-0.014507486265330338,0.01,5,trailing_stop
GBPUSD=X,2022-08-08,2022-08-22,1,-0.020606136760353458,0.01,11,trailing_stop
EURUSD=X,2022-09-02,2022-09-05,-1,0.004104215870590504,0.01,2,reversal
GBPUSD=X,2022-09-05,2022-09-05,-1,0.00015031838881623535,0.01,1,reversal
USDJPY=X,2022-09-05,2022-09-07,-1,-0.01907751522200788,0.01,3,trailing_stop
AUDUSD=X,2022-09-05,2022-09-05,-1,-0.0003567332747036649,0.01,1,reversal
EURUSD=X,2022-09-06,2022-09-21,1,0.0015977453291060317,0.01,12,trailing_stop
GBPUSD=X,2022-09-06,2022-09-21,1,-0.016516915721041425,0.01,12,trailing_stop
AUDUSD=X,2022-09-06,2022-09-14,1,-0.010791210215674824,0.01,7,trailing_stop
USDJPY=X,2022-09-09,2022-09-28,-1,-0.006061070641972342,0.01,14,trailing_stop
GBPUSD=X,2022-09-26,2022-10-03,1,0.031386921481471576,0.01,6,reversal
EURUSD=X,2022-10-04,2022-10-10,-1,0.009648780340827785,0.01,5,time
GBPUSD=X,2022-10-04,2022-10-04,-1,0.00029116272066423925,0.01,1,reversal
USDJPY=X,2022-10-04,2022-10-10,-1,-0.006814315390211284,0.01,5,time
AUDUSD=X,2022-10-04,2022-10-04,-1,-0.00037241629804307317,0.01,1,reversal
GBPUSD=X,2022-10-05,2022-10-14,1,-0.013032355627520769,0.01,8,time
AUDUSD=X,2022-10-05,2022-10-05,1,-0.0003706232113932954,0.01,1,reversal
AUDUSD=X,2022-10-06,2022-10-26,-1,0.019062481619447198,0.01,15,time
EURUSD=X,2022-11-02,2022-11-03,-1,0.006220575245453366,0.01,2,reversal
GBPUSD=X,2022-11-02,2022-11-04,-1,0.027729944014546266,0.01,3,reversal
USDJPY=X,2022-11-03,2022-11-09,1,-0.017603572758209236,0.01,5,trailing_stop
AUDUSD=X,2022-11-03,2022-11-07,-1,-0.016293538721255087,0.01,3,trailing_stop
EURUSD=X,2022-11-04,2022-12-01,1,0.06898746588857137,0.01,20,time
GBPUSD=X,2022-11-07,2022-12-02,1,0.08098061695565048,0.01,20,time
AUDUSD=X,2022-12-05,2022-12-05,-1,-0.00035555487882278614,0.01,1,reversal
EURUSD=X,2022-12-06,2022-12-23,1,0.009872390028255802,0.01,14,time
GBPUSD=X,2022-12-06,2022-12-22,1,-0.009768942074493603,0.01,13,trailing_stop
USDJPY=X,2022-12-06,2022-12-23,-1,0.031169041690450486,0.01,14,time
AUDUSD=X,2022-12-06,2022-12-16,1,-0.0006634945168798587,0.01,9,trailing_stop
EURUSD=X,2022-12-27,2023-01-02,1,0.00631622547950428,0.01,5,reversal
EURUSD=X,2023-01-03,2023-01-04,-1,0.01206261014285499,0.01,2,reversal
GBPUSD=X,2023-01-03,2023-01-04,-1,0.007629524288784108,0.01,2,reversal
USDJPY=X,2023-01-03,2023-01-03,-1,-0.00010210092553069903,0.01,1,reversal
AUDUSD=X,2023-01-03,2023-01-04,-1,0.01104330554722129,0.01,2,reversal
USDJPY=X,2023-01-04,2023-01-04,1,-8.671242819263763e-05,0.01,1,reversal
EURUSD=X,2023-01-05,2023-01-25,1,0.026292288542721347,0.01,15,time
GBPUSD=X,2023-01-05,2023-01-25,1,0.02269311261450255,0.01,15,time
USDJPY=X,2023-01-05,2023-01-25,-1,0.01488342476997628,0.01,15,time
AUDUSD=X,2023-01-05,2023-01-25,1,0.031467777169819654,0.01,15,time
AUDUSD=X,2023-02-03,2023-02-09,-1,0.020088900390053323,0.01,5,time
AUDUSD=X,2023-03-03,2023-03-09,-1,0.02055598486014989,0.01,5,time
USDJPY=X,2023-03-13,2023-03-31,-1,0.01281557595081886,0.01,15,trailing_stop
AUDUSD=X,2023-04-04,2023-04-10,-1,0.016564120268524947,0.01,5,time
EURUSD=X,2023-05-02,2023-05-02,-1,-0.00018506773246362236,0.01,1,reversal
AUDUSD=X,2023-05-02,2023-05-05,-1,-0.011442909624928898,0.01,4,trailing_stop
EURUSD=X,2023-05-03,2023-05-09,1,-0.0015519128793877058,0.01,5,time
GBPUSD=X,2023-05-03,2023-05-09,1,0.010458421735673918,0.01,5,time
EURUSD=X,2023-05-12,2023-06-01,-1,0.01964148142685585,0.01,15,time
GBPUSD=X,2023-05-15,2023-05-26,1,-0.01109979968122077,0.01,10,trailing_stop
AUDUSD=X,2023-06-02,2023-06-07,-1,-0.015746644665202047,0.01,4,trailing_stop
EURUSD=X,2023-06-05,2023-06-09,1,0.007644875345117525,0.01,5,time
GBPUSD=X,2023-06-05,2023-06-09,1,0.010224395113395806,0.01,5,time
USDJPY=X,2023-06-05,2023-06-09,1,-0.009633729634049898,0.01,5,time
EURUSD=X,2023-06-23,2023-07-10,-1,-0.0012136090798200742,0.01,12,trailing_stop
GBPUSD=X,2023-06-26,2023-07-14,1,0.03085972355865198,0.01,15,time
USDJPY=X,2023-07-04,2023-07-04,1,-7.820892308109602e-05,0.01,1,reversal
AUDUSD=X,2023-07-04,2023-07-10,-1,-0.0025229546967854024,0.01,5,time
USDJPY=X,2023-07-05,2023-07-14,-1,0.04366204661893358,0.01,8,time
EURUSD=X,2023-08-02,2023-08-02,-1,-0.00018442773392856338,0.01,1,reversal
USDJPY=X,2023-08-02,2023-08-24,1,0.01195300449210717,0.01,17,trailing_stop
AUDUSD=X,2023-08-02,2023-08-24,-1,0.020267134004246696,0.01,17,trailing_stop
EURUSD=X,2023-08-03,2023-08-09,1,0.0011364350526001424,0.01,5,time
GBPUSD=X,2023-08-03,2023-08-09,1,0.0016898618550770276,0.01,5,time
GBPUSD=X,2023-08-25,2023-09-04,-1,-4.3343236907322056e-05,0.01,7,reversal
USDJPY=X,2023-09-04,2023-10-06,1,0.01658189213835013,0.01,25,trailing_stop
AUDUSD=X,2023-09-04,2023-09-18,-1,0.0014942194359722333,0.01,11,trailing_stop
EURUSD=X,2023-09-05,2023-09-11,1,-0.007287992528751609,0.01,5,time
GBPUSD=X,2023-09-05,2023-09-07,1,-0.010283070340545934,0.01,3,reversal
GBPUSD=X,2023-09-08,2023-09-28,-1,0.02704575395625521,0.01,15,time
EURUSD=X,2023-10-03,2023-10-09,-1,-0.008484332294732087,0.01,5,time
GBPUSD=X,2023-10-03,2023-10-09,-1,-0.01112284927287922,0.01,5,time
AUDUSD=X,2023-10-03,2023-10-03,-1,-0.00038048607368170074,0.01,1,reversal
AUDUSD=X,2023-10-04,2023-10-13,1,0.0008496773008923095,0.01,8,trailing_stop
